# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 169 | 17.179 us | `real` | `generated_ln_abs_plus_one_build` | `generated[17579] 3 9/98` |
| 170 | 17.169 us | `computable` | `generated_cos_p96` | `generated[13775] -4 137/196` |
| 171 | 17.169 us | `computable` | `generated_cos_p96` | `generated[14000] -5 53/87` |
| 172 | 17.168 us | `computable` | `generated_atan_p96` | `generated[10344] 1 103/387` |
| 173 | 17.158 us | `computable` | `generated_tan_p96` | `generated[9201] -5 25/61` |
| 174 | 17.149 us | `real` | `generated_ln_abs_plus_one_build` | `generated[6209] 5 27/43` |
| 175 | 17.148 us | `real` | `generated_ln_abs_plus_one_build` | `generated[734] 1 197/412` |
| 176 | 17.138 us | `real` | `generated_ln_abs_plus_one_build` | `generated[8234] 3 77/102` |
| 177 | 17.109 us | `real` | `generated_ln_abs_plus_one_build` | `generated[7004] 1 29/108` |
| 178 | 17.099 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17212] 105/587` |
| 179 | 17.098 us | `computable` | `generated_atan_p96` | `generated[16644] 1 147/163` |
| 180 | 17.049 us | `computable` | `generated_tan_p96` | `generated[15501] -7 3/61` |
| 181 | 17.029 us | `computable` | `generated_atan_p96` | `generated[4764] 1 224/249` |
| 182 | 16.989 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13597] 13/146` |
| 183 | 16.979 us | `computable` | `generated_atan_p96` | `generated[9144] 1 35/106` |
| 184 | 16.979 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11872] 1 4/5` |
| 185 | 16.859 us | `real` | `generated_ln_abs_plus_one_build` | `generated[3014] -3 9/14` |
| 186 | 16.849 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8587] 33/89` |
| 187 | 16.839 us | `computable` | `generated_atan_p96` | `generated[2769] -1 360/401` |
| 188 | 16.829 us | `computable` | `generated_atan_p96` | `generated[6984] -1 71/81` |
| 189 | 16.829 us | `computable` | `generated_tan_p96` | `generated[10536] 7 37/68` |
| 190 | 16.809 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13567] -113/957` |
| 191 | 16.779 us | `computable` | `generated_atan_p96` | `generated[9069] -1 291/340` |
| 192 | 16.749 us | `computable` | `generated_tan_p96` | `generated[9006] 3 134/211` |
| 193 | 16.749 us | `real` | `generated_ln_abs_plus_one_build` | `generated[7259] -3 101/242` |
| 194 | 16.739 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17347] -5/103` |
| 195 | 16.719 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13162] 307/555` |
| 196 | 16.699 us | `computable` | `generated_tan_p96` | `generated[17691] -4 146/191` |
| 197 | 16.659 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17077] 245/453` |
| 198 | 16.629 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15997] -1 128/189` |
